Tarih,Gerçek,LSTM_Prob,RF_Prob,AI_Signal_Strength
2024-10-02,1,0.3097859,0.38500590636568466,0.3398739040463654
2024-10-03,1,0.3101545,0.38685529753280984,0.3408348235476546
2024-10-04,1,0.31059211,0.43253890679958096,0.35937084061575986
2024-10-07,1,0.31160727,0.4464635769727453,0.3655497936488241
2024-10-08,0,0.3111007,0.43446126725363693,0.3604449307763098
2024-10-09,0,0.3097868,0.4292447430983723,0.35756997518124345
2024-10-10,0,0.30801386,0.4426624665724192,0.3618733004755558
2024-10-11,0,0.30673507,0.4209313527437185,0.35241359415420437
2024-10-14,1,0.30567616,0.4380621702607435,0.358630565450031
2024-10-15,1,0.3055055,0.4266227522438434,0.3539524123647081
2024-10-16,1,0.30522293,0.41954391237456234,0.35095133100493203
2024-10-17,1,0.30586895,0.4154134775919537,0.349686766096863
2024-10-18,1,0.30481315,0.43387749407556925,0.3564388945256364
2024-10-21,1,0.30308047,0.4270587214976023,0.3526717761814384
2024-10-22,0,0.3020188,0.423507855475959,0.35061442003290527
2024-10-23,0,0.29946622,0.37937772960293303,0.3314308283361912
2024-10-24,0,0.29735664,0.3694933111585072,0.3262113116231319
2024-10-25,0,0.29606858,0.4169331254270444,0.3444144035063891
2024-10-28,0,0.29533213,0.4244415569411843,0.3469759119791639
2024-10-30,0,0.29669908,0.40716778549941657,0.3408865633145661
2024-10-31,0,0.29668057,0.40474590647576214,0.33990671034001496
2024-11-01,0,0.2973232,0.3955792398090956,0.33662562612040037
2024-11-04,1,0.29845035,0.39949228328735636,0.3388671327124874
2024-11-05,1,0.29949623,0.39949228328735636,0.3394946653138439
2024-11-06,1,0.30054954,0.404658949954023,0.34219330512790286
2024-11-07,1,0.2985571,0.3927567042231701,0.33623694627762407
2024-11-08,1,0.29729673,0.3927567042231701,0.3354807272481975
2024-11-11,1,0.2951495,0.39028780712982963,0.3332048289152024
2024-11-12,0,0.29444057,0.3933815571298297,0.33401697526892404
2024-11-13,0,0.2925876,0.41509756590175956,0.34159160314102305
2024-11-14,0,0.2897729,0.4517096846074957,0.35454761261825163
2024-11-15,0,0.2864257,0.43999605715831336,0.3478538576386778
2024-11-18,0,0.28430757,0.4544441387183501,0.35236220002679164
2024-11-19,0,0.28264883,0.3962826489270187,0.32810237045528323
2024-11-20,0,0.27660325,0.35654784840854886,0.3085810903807993
2024-11-21,0,0.2733143,0.35951625427169165,0.3077950919491552
2024-11-22,0,0.27236262,0.3764170479224852,0.31398439691252433
2024-11-25,0,0.2726535,0.3764170479224852,0.3141589193124267
2024-11-26,0,0.27339295,0.3710127417023895,0.31244086399777404
2024-11-27,0,0.27543727,0.3627873219578741,0.3103773000848007
2024-11-28,1,0.2775055,0.3627873219578741,0.31161822408554074
2024-11-29,1,0.27979162,0.41625392888196977,0.334376548545395
2024-12-02,0,0.28191677,0.41138850445132796,0.33370547113649585
2024-12-03,0,0.2842066,0.40996814320338054,0.3345112286005508
2024-12-04,0,0.28497967,0.4134255414883651,0.3363580312601867
2024-12-05,0,0.28432733,0.4083010826139063,0.33391683890932444
2024-12-06,0,0.28525493,0.4083010826139063,0.33447339727991465
2024-12-09,0,0.2863164,0.4083010826139063,0.3351102729093397
2024-12-10,0,0.28767797,0.4068807213659589,0.33535908457261343
2024-12-11,0,0.28877133,0.36075503050763724,0.31756481694968275
2024-12-12,0,0.2876231,0.3425285347811415,0.3095852783724481
2024-12-13,0,0.28829938,0.3335653564865678,0.30640578057508827
2024-12-16,0,0.2899576,0.3422924627136741,0.3108915586976828
2024-12-17,0,0.29164717,0.3458985233197347,0.3133477089361245
2024-12-18,0,0.29344162,0.33491042808163946,0.31002915424294786
2024-12-19,0,0.2955215,0.34287732593788156,0.31446384093194585
2024-12-20,0,0.29771626,0.3415455427785122,0.3152479730852208
2024-12-23,0,0.2995895,0.34630555948057995,0.31827594455257746
2024-12-24,0,0.30135512,0.3876557925808131,0.33587539114426374
2024-12-25,0,0.30317363,0.3963333146202446,0.34043750768613346
2024-12-26,0,0.30524185,0.3988195708561518,0.34267294908239754
